month,unemployment_rate,violation
1,0.0,low
2,0.15,high
3,0.23,high
4,0.11,
5,0.1,
6,0.1,
7,0.12,
8,0.05,
9,0.12,
10,0.13,
11,0.13,
12,0.2,high
13,0.15,high
14,0.1,
15,0.14,
16,0.08,
17,0.06,
18,0.1,
19,0.02,low
20,0.12,
21,0.08,
22,0.05,
23,0.09,
24,0.05,
25,0.06,
26,0.02,low
27,0.04,
28,0.08,
29,0.06,
30,0.07,
31,0.08,
32,0.07,
33,0.05,
34,0.06,
35,0.05,
36,0.07,
37,0.05,
38,0.06,
39,0.05,
40,0.05,
41,0.1,
42,0.13,
43,0.01,low
44,0.06,
45,0.11,
46,0.09,
47,0.07,
48,0.1,
49,0.13,
50,0.08,
51,0.08,
52,0.07,
53,0.07,
54,0.08,
55,0.07,
56,0.17,high
57,0.01,low
58,0.1,
59,0.14,
60,0.05,
61,0.16,high
62,0.17,high
63,0.12,
64,0.15,high
65,0.1,
66,0.13,
67,0.05,
68,0.11,
69,0.09,
70,0.1,
71,0.15,high
72,0.12,
73,0.11,
74,0.11,
75,0.07,
76,0.12,
77,0.07,
78,0.05,
79,0.15,high
80,0.11,
81,0.13,
82,0.03,low
83,0.07,
84,0.11,
85,0.1,
86,0.01,low
87,0.05,
88,0.05,
89,0.04,
90,0.03,low
91,0.03,low
92,0.03,low
93,0.07,
94,0.08,
95,0.09,
96,0.03,low
97,0.1,
98,0.08,
99,0.04,
100,0.16,high
101,0.09,
102,0.11,
103,0.02,low
104,0.09,
105,0.07,
106,0.05,
107,0.04,
108,0.1,
109,0.06,
110,0.07,
111,0.05,
112,0.04,
113,0.09,
114,0.03,low
115,0.07,
116,0.05,
117,0.06,
118,0.11,
119,0.14,
120,0.07,
121,0.05,
122,0.1,
123,0.08,
124,0.04,
125,0.05,
126,0.07,
127,0.08,
128,0.07,
129,0.06,
130,0.11,
131,0.07,
132,0.08,
133,0.03,low
134,0.12,
135,0.03,low
136,0.05,
137,0.1,
138,0.05,
139,0.05,
140,0.09,
141,0.13,
142,0.14,
143,0.12,
144,0.09,
145,0.1,
146,0.1,
147,0.05,
148,0.1,
149,0.1,
150,0.14,
151,0.1,
152,0.08,
153,0.08,
154,0.09,
155,0.08,
156,0.08,
157,0.15,high
158,0.09,
159,0.14,
160,0.06,
161,0.11,
162,0.09,
163,0.1,
164,0.14,
165,0.08,
166,0.1,
167,0.09,
168,0.04,
169,0.05,
170,0.07,
171,0.05,
172,0.04,
173,0.05,
174,0.03,low
175,0.04,
176,0.04,
177,0.01,low
178,0.03,low
179,0.09,
180,0.07,
181,0.04,
182,0.11,
183,0.07,
184,0.09,
185,0.04,
186,0.05,
187,0.06,
188,0.05,
189,0.07,
190,0.06,
191,0.04,
192,0.05,
193,0.04,
194,0.08,
195,0.06,
196,0.02,low
197,0.03,low
198,0.11,
199,0.03,low
200,0.09,
201,0.03,low
202,0.06,
203,0.1,
204,0.03,low
205,0.09,
206,0.07,
207,0.13,
208,0.14,
209,0.08,
210,0.15,high
211,0.1,
212,0.05,
213,0.11,
214,0.05,
215,0.09,
216,0.16,high
217,0.09,
218,0.13,
219,0.11,
220,0.08,
221,0.1,
222,0.12,
223,0.13,
224,0.1,
225,0.11,
226,0.07,
227,0.05,
228,0.11,
229,0.11,
230,0.1,
231,0.11,
232,0.11,
233,0.06,
234,0.13,
235,0.03,low
236,0.09,
237,0.11,
238,0.08,
239,0.07,
240,0.1,
